,ra,dec
646,213.04189,29.273296
647,213.00735,29.19624
648,213.0858,29.218354
649,213.1459,29.642392
650,213.07091,29.630333
651,213.15368,29.577381
652,213.04039,29.730389
653,212.86212,28.702516
654,212.8987,28.806746
655,212.82378,28.265499
656,212.77366,28.351531
657,212.90116,28.21604
658,212.88058,28.778678
659,212.73543,28.424431
660,212.92937,28.983897
661,212.92568,28.928469
662,212.78425,28.890742
663,212.61004,28.789268
664,212.49862,28.891639
665,212.54014,28.63854
666,138.0124,61.980242
667,138.44307,62.169519
668,138.33723,62.267145
669,138.19106,62.11111
670,138.21975,61.879664
671,138.18152,62.023265
672,138.41036,62.319166
673,138.07175,61.896618
674,137.98986,61.661134
675,138.1823,61.880704
676,137.96692,61.714499
677,138.41625,61.994448
678,138.49394,62.736182
679,139.10965,62.54362
680,138.61024,62.445906
681,139.04874,62.529008
682,138.7339,62.663875
683,138.48415,62.359912
684,139.36104,62.457506
685,138.97735,62.485287
686,138.55242,62.367825
687,138.81626,62.353642
688,139.25841,62.337219
689,139.29246,62.314679
690,138.55369,62.127915
691,138.54655,62.022129
692,138.82922,61.951898
693,138.75659,61.908894
694,139.00471,61.926072
695,139.05673,61.773783
696,138.58027,61.826354
697,139.09298,61.898981
698,138.81749,61.618703
699,139.41808,62.057926
700,139.2853,62.199507
701,139.42059,61.909643
702,139.62426,61.790494
703,139.28606,62.104377
704,176.61085,58.148983
705,176.65351,58.378405
706,176.69075,58.522615
707,176.51683,58.644388
708,176.49076,58.314306
709,176.78823,58.85798
710,176.63005,58.687424
711,176.50518,58.752367
712,176.8437,58.907165
713,176.52836,58.888437
714,176.5018,58.833714
715,176.23738,58.457072
716,176.40633,58.573461
717,176.28366,58.620151
718,176.44653,58.6759
719,176.15033,58.702991
720,176.23013,58.767895
721,176.04294,58.733637
722,176.04369,58.822224
723,176.45611,58.826912
724,175.84997,57.942374
725,176.04566,57.998859
726,176.60219,57.996484
727,176.41686,57.984417
728,176.03299,57.87134
729,176.54245,58.042493
730,176.63301,58.095379
731,176.65045,58.113538
732,176.15617,58.106583
733,176.32636,58.102814
734,176.22888,58.202586
735,175.71722,58.501418
736,175.62917,58.514099
737,175.60325,58.534877
738,9.37559549999997,8.8044131
739,9.3579603,8.729239
740,9.3385576,8.7517357
741,9.4515346,8.6319245
742,153.32969,9.7454324
743,153.18745,9.6900182
744,153.15297,9.6929495
745,153.29079,9.7046519
746,153.37629,9.8888638
747,153.26521,9.8166608
748,153.32278,9.8883784
749,153.17555,10.030358
750,153.19987,9.9546163
751,153.2655,10.19258
752,153.12367,10.080889
753,173.94705,3.8692094
754,173.89577,3.8233017
755,173.96076,3.8379341
756,173.98566,3.8907713
757,173.98415,4.0056938
758,174.01646,4.0774809
759,174.03441,4.0908556
760,173.954,4.1368112
761,173.877,4.1641529
762,173.8283,4.1887985
763,173.85293,4.3139204
764,174.02109,4.3106237
765,173.99826,4.3794798
766,173.6499,3.7840436
767,173.77955,3.7134244
768,173.78836,3.7382426
769,173.79273,3.8204351
770,173.74121,3.9840311
771,173.81058,4.0754168
772,173.82115,4.3618121
773,173.62396,4.0821273
774,173.71754,4.2155711
775,173.68978,4.3408205
776,173.71784,4.3234688
777,173.82468,4.318987
778,173.51592,3.3530114
779,173.81709,3.7355732
780,173.72638,3.4031876
781,173.50121,3.3010224
782,173.50638,3.3859958
783,173.8037,3.6045354
784,173.56959,3.409372
785,173.72937,3.6407322
786,173.6969,3.4346609
787,173.69789,3.5571091
788,173.54087,3.5782224
789,173.64272,3.5485332
790,173.57667,3.6645276
791,173.53774,3.5065115
792,173.79686,3.6929954
793,173.56632,3.7063859
794,173.48157,3.7403717
795,173.50609,3.7304946
796,173.49093,3.7732735
797,232.44574,46.494833
798,232.28322,46.497683
