,flux_list,wavelength,z,ra,dec,objid,coordinate
134,"[array([-1.6369876,  4.9131293,  4.277636 , ...,  5.8371983,  4.739053 ,
        5.639382 ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.09368037,0.479496917462257,14.8524383528706,1237652943175483588,0h01m55.0803s +14d51m08.82s
135,"[array([ 4.036331,  7.406964,  1.12512 , ..., 16.473671, 17.3518  ,
       17.630144], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.0787275,0.480176956612931,0.0477655228871762,1237663784197619862,0h01m55.2587s +0d02m52.0542s
136,"[array([ 1.0727175,  6.210635 ,  3.6636965, ..., 11.549739 , 12.011979 ,
       11.939181 ], dtype=float32)]","[array([3794.8972, 3795.7703, 3796.6455, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.08829415,0.480881685586183,0.546279054481804,1237663277927956694,0h01m55.428s +0d32m46.8417s
137,"[array([ 8.325132 ,  8.731425 ,  4.8593364, ..., 19.505508 , 21.742138 ,
       22.090525 ], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.09944327,0.486809130066433,1.15687161870704,1237657192516026516,0h01m56.8377s +1d09m24.6834s
138,"[array([27.081701, 24.698956, 20.043982, ..., 58.3858  , 55.780502,
       57.865944], dtype=float32)]","[array([3815.0483, 3815.926 , 3816.806 , ..., 9187.558 , 9189.672 ,
       9191.785 ], dtype=float32)]",0.03571535,0.503440061085257,15.0256292212286,1237656495650767088,0h02m00.8246s +15d01m32.1924s
139,"[array([-1.079919 ,  2.8424983,  1.8016473, ...,  6.736598 ,  1.9588948,
        3.6895928], dtype=float32)]","[array([3794.8972, 3795.7703, 3796.6455, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.0992173,0.513043696938922,0.607910627369505,1237663277927956712,0h02m03.1524s +0d36m28.7485s
140,"[array([ 4.2807717,  8.9516115,  9.483279 , ..., 30.360165 , 31.586782 ,
       30.988049 ], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.07920647,0.515061828902958,0.63188084772545,1237657191979155616,0h02m03.621s +0d37m54.8525s
141,"[array([ 2.2799141,  0.6343108,  3.532475 , ..., 19.488039 , 18.307388 ,
       17.415329 ], dtype=float32)]","[array([3808.0261, 3808.9043, 3809.7805, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.09520221,0.515455751063882,13.7475818598677,1237656494040154252,0h02m03.7043s +13d44m51.2556s
142,"[array([14.057292,  5.981871, 12.516634, ..., 11.284749, 12.882669,
       11.414304], dtype=float32)]","[array([3806.2727, 3807.1504, 3808.0261, ..., 9202.379 , 9204.495 ,
       9206.613 ], dtype=float32)]",0.08726923,0.534599894299276,15.4496389353835,1237656496187638078,0h02m08.3048s +15d26m58.6428s
143,"[array([ 6.8294897 ,  4.2946086 ,  0.97570115, ..., 18.083984  ,
       16.170494  , 17.837868  ], dtype=float32)]","[array([3798.3948, 3799.2686, 3800.1426, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.09172464,0.53798011088324,0.553238375628679,1237663277928022214,0h02m09.1216s +0d33m11.7745s
144,"[array([21.027218, 21.995312, 23.481955, ..., 65.65994 , 65.23809 ,
       63.95408 ], dtype=float32)]","[array([3817.684 , 3818.5623, 3819.4429, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.04200882,0.542471664253924,14.1362214354539,1237656494577025171,0h02m10.1928s +14d08m10.3344s
145,"[array([ 9.09985  ,  5.393468 ,  6.5027905, ...,  9.845782 ,  9.219907 ,
       10.1236315], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9196.0205, 9198.141 ,
       9200.257 ], dtype=float32)]",0.08910637,0.552377311362518,0.00473424674827022,1237663784197619922,0h02m12.5719s +0d00m17.0709s
146,"[array([-0.07244128, -0.20601694,  2.7558458 , ...,  2.2278879 ,
        3.7015433 ,  1.9259454 ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.01711621,0.561558132805487,14.48774635624,1237652942638678545,0h02m14.774s +14d29m15.8892s
147,"[array([2.1275864, 8.377033 , 5.9813056, ..., 2.5990436, 2.151475 ,
       1.0406854], dtype=float32)]","[array([3805.3972, 3806.2727, 3807.1504, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.08318014,0.566357575451491,14.6718077623842,1237656495113896207,0h02m15.926s +14d40m18.4764s
148,"[array([ 6.2727203,  8.693464 ,  2.9532843, ..., 17.872437 , 20.810787 ,
       17.187466 ], dtype=float32)]","[array([3808.9043, 3809.7805, 3810.659 , ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.07988752,0.568429466205544,0.434658078870284,1237663277928022240,0h02m16.4244s +0d26m04.9131s
149,"[array([ 9.445682,  9.089482,  6.225256, ..., 21.212454, 20.6254  ,
       20.720667], dtype=float32)]","[array([3804.522 , 3805.3972, 3806.2727, ..., 9189.672 , 9191.785 ,
       9193.905 ], dtype=float32)]",0.0945647,0.57042564700933,0.90932996402445,1237663278464893021,0h02m16.9107s +0d54m33.6333s
150,"[array([ 9.559379 , 14.471828 ,  6.8546815, ...,  3.905698 ,  4.626419 ,
        5.22461  ], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9196.0205, 9198.141 ,
       9200.257 ], dtype=float32)]",0.0003266232,0.578198218110163,0.136432505198147,1237663784197619937,0h02m18.7694s +0d08m11.1531s
151,"[array([ 8.596592 , 13.335362 ,  7.6521325, ...,  8.450299 ,  7.3869147,
        9.673518 ], dtype=float32)]","[array([3802.77  , 3803.6448, 3804.522 , ..., 9189.672 , 9191.785 ,
       9193.905 ], dtype=float32)]",0.06524065,0.588431981588428,0.937230362327228,1237663278464893025,0h02m21.2364s +0d56m14.1242s
152,"[array([ 9.71905 ,  5.689501,  6.80553 , ..., 16.39174 , 15.792848,
       13.844351], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.04259617,0.591811835883107,15.4197538159541,1237656496187638125,0h02m22.035s +15d25m11.0928s
